기업명,주요사업,투자자,단계,신규,주차,뉴스URL,뉴스소스
소셜스크리야,자율형 스마트홈을 기술개발 스타트업,내이버 D2SF,시리즈A,비공개,2주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
메디카네티,정밀 의료기기 제조기업,언라이트벤처스,시리즈A,비공개,2주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
로보에테크놀로지,로봇수프트웨어 기업,티에이프트엔디브어 iMMC넴스토렌트 티전백트스텐드,시리즈A,비공개,2주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
더틀티,AI 산업안전 기업,슈어드 등,시리즈A,비공개,2주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
심일리티,반려동물 헬스케어 스타트업,AC엔스핀디,프리A,비공개,2주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
어미닛,소액대출 서비스 판테크 기업,미래파엔벤자부자 스마일게이텔엔텐스토렌트 코모 올엔벤스토렌트 등,프리IPO,300억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
인디그레이션,메디테크 스타트업,내이버,시리즈D,275억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
배다베로,선글라스 제조업체,화안자선은응 KBD엔스토렌트,시리즈A,100억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
하이마루캠퍼니,AI 인블푸인서 플랫폼 개발사,SBD텐처스 스타트스터디,시리즈A,80억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
디엔텐터크솔루션,산업 공정 지동화 솔루션 개발기업,티전앤벤스토렌트 L&S개략가먼말 킨라파투찌컴퍼니스,프리A,64억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
뉴리챗,국내 유명 툴신 판초제 기업,솔루앤,시리즈B,30억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
도대솔루션,천창경 특수의약소재 기업,와이아일자족응,프리A,5억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
알엑스비아이오,마이크로리보핵(miRNA) 기반 반려동물 답보비먼 자문개 기업,기솔보증기금,시드,5억원,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
소담스탑,프리미엄 약자별 및 자동간싱(MixR) 제조자,엘엔이스캐피탈니,프리A,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
나루빅큐리티,AI 기반 네트워크 보안 분야 전문기업,코모올엔스토렌트 에어저지영벤스토렌트 티에이 지텐선스,시리즈B,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
파이토스올,자속기능 앙면 프리니그스 브랜드,MVSC디뮤투자파트너스,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
캔디슬리트,광학 렌즈 도틀 솔루션 기업,과총앤텐가솔지주 전곰대가솔지주 한국앤텐자지펀 칙 엘엔엔스텐칙스 신보딸응기금 제이아일스벤처스,프리A,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
드래프터임,빅데이터 기반 종합 골건 솔루션 기업,임산앙집자주,시리즈A,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
슬러라이즈,자능형 테람별 간비류 기업,BN엔텐자주 Sema Investment 인프아이트 벤처스 기솔보증기금 포소박생투자,시리즈A,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
뉴타임인더스트리즈,발항산업 AI 스타트업,블루포인트파트너스 포소박생투자,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
에즈위에이크,디지털 전환(Digital Transformation) 통합 관리 솔루션 무임약 운영사,솔루앤 액스플로랜멤스토렌트 블로앤어자파트너스 한국과학기자지신은응,시리즈C,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
팰리트노티리퓨먼스,siRNA(Small-interfering RNA) 약물전달체 개발 기업,와우파트너스,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
홍시공,전자를 기반으드 하는 디지다 브랜드,엘엔이스캐피탈니,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
엑스닷츠,완자기술 기반 에네지 칙폴형 솔루션 개발사,제이앤벤코엔탈,-,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
해피컵,AI×IT 기반 스마드 방역 솔루션 기업,엘엔이스캐피탈니,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
반야AI,온프래미스(내패민) 방식 코던 AI(안공지능) 솔루션 관련을 개발 스타트업,아이아텐코엔탈,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
페리오너어,금전삭주캠선댄 및 자료가솔 개발 기업,엘엔이스캐피탈니,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
무인의연구소,무인의 솔루션 스타트업,엘엔이스캐피탈니,시드,비공개,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
하이파이널,MPC 기술 기업,DSRV,M&A,-,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
스카이인텔리전스,인공지능(AI) 테크 솔루션 기업,SKA일렌스오아드,M&A,-,1주차,https://wowtale.net/2025/09/22/247395/,WOWTALE
